#;Núm. da RI;Ordem;Equipam.;TAG (Campo);Local Instalação;Data Máx. RI;Desc. Componente;Desc. Problema;Texto descritivo da RI
1;20043998;;;;SUA.GLP.PIER01;42973;;;Conteúdo da notaPrio.: CCANCELADANenhuma ação existenteNenhuma medida existenteNenh.item existente
136;20107831;;10279244;LINEXT GASOLINA;NES.TA.SUAPE   .LINPROD.CLA_EXT;46137;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: BINSTALAR DUPLA CALHAAção  OutraNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVO# Reparar a avaria na tubulação 16""-GA/GV-6313-502-Ba causada porcorrosão atmosférica alveolar, de intensidade moderada, (corrosãoexterna).LOCALIZAÇÃO E DIMENSIONAMENTO DO DEFEITO:Corrosão medindo 50mm (compr) x 50mm (larg) x profundidade 4,0mm,posição horária 06:00h, localizada próxima ao suporte STP-170 .ITEM 01) SOLDAR DUPLA-CALHA: Preparar superfície do tubo e instalar,através de soldagem, dupla-calha conforme requisitos a seguir: * Dados para construção da dupla-calha:   - Chapa em aço carbono ASTM A 283 Gr. C ou tubo diâmetro 16"" em açoAPI 5L Gr. B ou equivalente;   - Dimensões: espessura mínima 1/4""x comprimento 200 mm;   - Atentar para o emprego de mata-junta de 2 a 3 mm de espessura;   - Atender aos requisitos da norma Petrobras N-2163 rev. G,principalmente os itens 4.1 e 6.2.1, caso a linha esteja em operação;   - Soldagem conforme Norma Petrobras N-133 e IEIS específica;   - Fabricação, montagem e controle de qualidade conforme NormaPetrobras N-115;DADOS DA LINHA PRINCIPAL: - TAG: 16""-GA/GV-6313-502-Ba - Tubulação diâmetro 16""; em aço API 5L Gr. B PSL1; esp. remanescentevizinha 6,11mm; classe de pressão 150#; PMTA 18 kgf/cm2.NOTAS: 1) ANTES DA SOLDAGEM: O serviço de soldagem deverá atender aosrequisitos da norma Petrobras N-133, se realizado na ""parada"" da linha.Ou de acordo com a norma Petrobras N-2163, se a linha estiver emoperação (pressurizada com ou sem fluxo, com produto ou seus resíduos); 2) Deverá ser apresentada previamente para o setor de Inspeção, antesda execução do serviço, toda a documentação de soldagem e de controle dequalidade de material da dupla-calha, conforme N-115; 3) DURANTE A SOLDAGEM: atentar para a quantidade, sequência e sentidodos passes de soldagem definida na norma Petrobras N-2163 na instalaçãode dupla-calha.ITEM 02) APÓS CONCLUSÃO DA SOLDAGEM E ENDs: Tratar e pintar as regiõessem pintura ou com pintura danificada na tubulação e na dupla-calhaconforme condição 4 e item 3.2 da norma N-442.ParteObjet LINHA-TUBULAÇÃO"
137;20107873;;10279244;LINEXT GASOLINA;NES.TA.SUAPE   .LINPROD.CLA_EXT;46137;LINHA-DISPOSITIVO DE SEGURANÇA;OUTROS;"Conteúdo da notaPrio.: BINSTALAR DCBIAção  OutraNenhuma medida existenteITEM    1Probl.: OUTROS#  Na PSV-6313073 : - Instalar, de forma adequada, DCBI’s nas válvulas a montante e ajusante da PSV-6313073; - Instalar fita anticorrosiva do tipo Torofita na união flangeadahorizontal a montante da PSV-6313073.REFERÊNCIA:  Entre os suportes STP-59 e STP-60 próximo ao LOOP 10.ParteObjet LINHA-DISPOSITIVO DE SEGURANÇA"
138;20108042;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;OUTROS;Conteúdo da notaPrio.: BVENT - SUBSTITUIR TAMPÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: OUTROSNo vent localizado no LOOP 13, instalar tampão com corrente ou cabo deaço, manípulo, destorcedor e abraçadeira, conforme modelo indicado naFigura C.1 ou na Figura C.2 da norma Petrobras N-108.ParteObjet LINHA-VENT
139;20108043;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;OUTROS;"Conteúdo da notaPrio.: BVENT - SUBSTITUIR TAMPÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: OUTROSNo Vent localizado no LOOP 12 da linha 14""-QI/QAV-6313-001Ba, instalartampão com corrente ou cabo de aço, manípulo, destorcedor e abraçadeira,conforme modelo indicado na Figura C.1 ou na Figura C.2 da normaPetrobras N-108.ParteObjet LINHA-VENT"
140;20108044;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;OUTROS;"Conteúdo da notaPrio.: BVENT - SUBSTITUIR TAMPÃOAção  OutraNenhuma medida existenteITEM    1Probl.: OUTROSNo vent localizado no LOOP 11 da linha 14""-QI/QAV-6313-001Ba, instalartampão com corrente ou cabo de aço, manípulo, destorcedor e abraçadeira,conforme modelo indicado na Figura C.1 ou na Figura C.2 da normaPetrobras N-108.ParteObjet LINHA-VENT"
141;20108045;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;PROCESSO CORROSIVO;Conteúdo da notaPrio.: BTRATAR E PINTAR VENTAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVONo Vent localizado no manifold próximo ao LOOP 10 e vizinho a válvulaVES2318, tratar e pintar regiões dispersas com corrosão atmosféricaalveolar na base e próximo a válvula de bloqueio de intensidade severa.ParteObjet LINHA-VENT
142;20108046;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;OUTROS;Conteúdo da notaPrio.: BVENT - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo Vent localizado próximo ao LOOP 10 e vizinho a válvula VES2318,instalar tampão com corrente ou cabo de aço, manípulo, destorcedor eabraçadeira, conforme modelo indicado na Figura C.1 ou na Figura C.2 danorma Petrobras N-108.ParteObjet LINHA-VENT
143;20108047;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;OUTROS;"Conteúdo da notaPrio.: BVENT - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo Vent localizado no LOOP 10 da linha 14""-QI/QAV-6313-001Ba instalarmanopla na válvula. Instalar tampão com corrente ou cabo de aço,manípulo, destorcedor e abraçadeira, conforme modelo indicado na FiguraC.1 ou na Figura C.2 da norma Petrobras N-108.ParteObjet LINHA-VENT"
144;20108048;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;OUTROS;"Conteúdo da notaPrio.: BVENT - SUBSTITUIR TAMPÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: OUTROSNo vent localizado no LOOP 9 da linha 14""-QI/QAV-6313-001Ba executar osseguintes itens:Item 1) Tratar e pintar regiões dispersas com corrosão atmosféricaalveolar de intensidade moderada em toda sua extensão.Item 2) Instalar tampão com corrente ou cabo de aço, manípulo,destorcedor e abraçadeira, conforme modelo indicado na Figura C.1 ou naFigura C.2 da norma Petrobras N-108.ParteObjet LINHA-VENT"
145;20108049;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;OUTROS;"Conteúdo da notaPrio.: BVENT - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo Vent localizado no LOOP 8 da linha 14""-QI/QAV-6313-001Ba, instalartampão com corrente ou cabo de aço, manípulo, destorcedor e abraçadeira,conforme modelo indicado na Figura C.1 ou na Figura C.2 da normaPetrobras N-108.ParteObjet LINHA-VENT"
146;20108051;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;OUTROS;"Conteúdo da notaPrio.: BVENT - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo Vent localizado no LOOP 7 da linha 14""-QI/QAV-6313-001Ba, instalartampão com corrente ou cabo de aço, manípulo, destorcedor e abraçadeira,conforme modelo indicado na Figura C.1 ou na Figura C.2 da normaPetrobras N-108.ParteObjet LINHA-VENT"
147;20108052;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-VENT;OUTROS;"Conteúdo da notaPrio.: BVENT - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo Vent localizado no LOOP 6 da linha 14""-QI/QAV-6313-001Ba, instalartampão roscado contendo corrente ou cabo de aço, manípulo, destorcedor eabraçadeira, conforme modelo indicado na Figura C.1 ou na FiguraC.2 da norma Petrobras N-108.ParteObjet LINHA-VENT"
148;20108054;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DRENO;OUTROS;Conteúdo da notaPrio.: BDRENO - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo dreno localizado no LOOP 13, instalar tampão com corrente ou cabo deaço, manípulo, destorcedor e abraçadeira, conforme modelo indicado naFigura C.1 ou na Figura C.2 da norma Petrobras N-108.ParteObjet LINHA-DRENO
149;20108055;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DRENO;OUTROS;"Conteúdo da notaPrio.: BDRENO - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo dreno localizado no LOOP 12 da linha 14""-QI/QAV-6313-001Ba, instalartampão com corrente ou cabo de aço, manípulo, destorcedor e abraçadeira,conforme modelo indicado na Figura C.1 ou na Figura C.2 da normaPetrobras N-108.ParteObjet LINHA-DRENO"
150;20108056;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DRENO;OUTROS;"Conteúdo da notaPrio.: BDRENO - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo dreno localizado no LOOP 11 da linha 14""-QI/QAV-6313-001Ba, instalartampão com corrente ou cabo de aço, manípulo, destorcedor e abraçadeira,conforme modelo indicado na Figura C.1 ou na Figura C.2 da normaPetrobras N-108.ParteObjet LINHA-DRENO"
151;20108057;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DRENO;OUTROS;Conteúdo da notaPrio.: BDRENO - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo dreno localizado próximo ao LOOP 10 e vizinho ao STP 62 em linha nãotagueada, instalar tampão com corrente ou cabo de aço, manípulo,destorcedor e abraçadeira, conforme modelo indicado na Figura C.1 ou naFigura C.2 da norma Petrobras N-108.ParteObjet LINHA-DRENO
152;20108058;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DRENO;OUTROS;"Conteúdo da notaPrio.: BDRENO - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo dreno localizado no LOOP 10 da linha 14""-QI/QAV-6313-001Ba instalarmanopla na válvula. Instalar tampão com corrente ou cabo de aço,manípulo, destorcedor e abraçadeira, conforme modelo indicado na FiguraC.1 ou na Figura C.2 da norma Petrobras N-108.ParteObjet LINHA-DRENO"
153;20108059;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DRENO;OUTROS;"Conteúdo da notaPrio.: BDRENO - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo dreno localizado no LOOP 9 da linha 14""-QI/QAV-6313-001Ba, instalartampão com corrente ou cabo de aço, manípulo, destorcedor e abraçadeira,conforme modelo indicado na Figura C.1 ou na Figura C.2 da normaPetrobras N-108.ParteObjet LINHA-DRENO"
154;20108060;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DRENO;OUTROS;"Conteúdo da notaPrio.: BDRENO - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo dreno localizado no LOOP 8 da linha 14""-QI/QAV-6313-001Ba, instalartampão com corrente ou cabo de aço, manípulo, destorcedor e abraçadeira,conforme modelo indicado na Figura C.1 ou na Figura C.2 da normaPetrobras N-108.ParteObjet LINHA-DRENO"
155;20108061;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DRENO;OUTROS;"Conteúdo da notaPrio.: BDRENO - SUBSTITUIR TAMPÃOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo dreno localizado no LOOP 7 da linha 14""-QI/QAV-6313-001Ba, instalartampão com corrente ou cabo de aço, manípulo, destorcedor e abraçadeira,conforme modelo indicado na Figura C.1 ou na Figura C.2 da normaPetrobras N-108.ParteObjet LINHA-DRENO"
156;20108062;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DRENO;OUTROS;"Conteúdo da notaPrio.: BDRENO - INSTALAR CORRENTE OU CABO DE AÇOAção  AjusteNenhuma medida existenteITEM    1Probl.: OUTROSNo dreno localizado no LOOP 6 da linha 14""-QI/QAV-6313-001Ba, instalarcorrente ou cabo de aço, conforme modelo indicado na Figura C.1 ouna Figura C.2 da norma Petrobras N-108.ParteObjet LINHA-DRENO"
157;20108064;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-DISPOSITIVO DE SEGURANÇA;LACRE EM MAU ESTADO;Conteúdo da notaPrio.: BINSTALAR DCBIAção  AjusteNenhuma medida existenteITEM    1Probl.: LACRE EM MAU ESTADOCorrigir a instalação da DCBI na válvula a jusante da PSV6313072 paraque possa impedir bloqueio inadvertido.ParteObjet LINHA-DISPOSITIVO DE SEGURANÇA
158;20108065;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-SUPORTE;OUTROS;"Conteúdo da notaPrio.: BRECUPERAÇÃO DE SUPORTESAção  ReparoNenhuma medida existenteITEM    1Probl.: OUTROSRecuperar diversos suportes ao longo da linha 14""-QI/QAV-6313-001Ba, entre o muro do TA SUAPE e o PGL1, que apresenta concreto comfissuras ou apresentando destacamento.ParteObjet LINHA-SUPORTE"
159;20108067;;10279246;LINEXT QAV;NES.TA.SUAPE   .LINPROD.CLA_EXT;46141;LINHA-SUPORTE;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: BRECUPERAÇÃO DE CHAPAS E VERGALHÕESAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVONos suportes da linha 14""-QI/QAV-6313-001Ba que apresentam corrosãoatmosférica alveolar e por placas em chapas e vergalhões de apoioexecutar o seguinte:Item 1) Recuperar ou substituir chapas e vergalhões de apoio (em toda aextensão do suporte, incluindo todas as linhas) que apresentem corrosãoatmosférica alveolar e/ou por placas, com intensidade de leve a severa;Item 2) Tratar e pintar chapas e vergalhões. Realizar o tratamentoconforme oitem 3.2 da norma Petrobras N-1550 e a pintura conforme a condição 2 damesma norma.ParteObjet LINHA-SUPORTE"
160;20102502;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão conforme condição 4 e item 3.2da norma N-442.REFERÊNCIA: Linha 1""-PE-6400-136-Ba da descarga da PSV-4708.04016 dalinha de petróleo, localizada no início da tubovia de acesso ao píer,apresentando regiões dispersas com corrosão atmosférica alveolar e porplacas de intensidade leve a moderada (identificadas em campo), notrecho até a interligação com a linha 2""-HC-6400-141-Ba.ParteObjet LINHA-TUBULAÇÃO"
161;20102503;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão conforme condição 4 e item 3.2da norma N-442.REFERÊNCIA: Linhas 1""-PE-6400-132-Ba e 1""-PE-6400-134-Ba de descarga dasPSVs das linhas de 24""Diesel 50 e 24""Diesel 500 do trecho da tubovia daponte de acesso ao píer apresentando regiões dispersas com corrosãoatmosférica alveolar e por frestas de intensidade leve nas áreas desolda dos joelhos, conexões e uniões flangeadas.ParteObjet LINHA-TUBULAÇÃO"
162;20102504;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão conforme condição 4 e item 3.2da norma N-442.REFERÊNCIA: Linha 2""-HC-6400-141-Ba - Regiões dispersas com corrosãoatmosférica alveolar e por placas de intensidade leve a moderada(identificadas em campo) com vários pontos ao longo de todo o trecho datubovia de acesso ao píer, principalmente nas áreas de solda ederivações.ParteObjet LINHA-TUBULAÇÃO"
163;20102505;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão conforme condição 4 e item 3.2da norma N-442.REFERÊNCIA: Linha 2""-HC-6400-141-Ba - Região com corrosão atmosféricaalveolar na geratriz inferior de intensidade leve, no trecho entre oúltimo suporte da tubovia sobre o mar e a curva de descida para a baciade contenção.ParteObjet LINHA-TUBULAÇÃO"
164;20102506;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão conforme condição 4 e item 3.2da norma N-442.REFERÊNCIA: Linha 2""-HC-6400-141-Ba - Regiões dispersas com corrosãoatmosférica alveolar de intensidade leve a moderada ao longo de todo otrecho localizado na bacia de contenção, principalmente nas regiões desolda.ParteObjet LINHA-TUBULAÇÃO"
165;20102657;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar regiões dispersas com corrosão atmosférica alveolar deintensidade leve a moderada na geratriz inferior do trecho horizontal,principalmente nas regiões de solda, conforme condição 4 e item 3.2 danorma N-442.REFERÊNCIA: trecho horizontal da linha 6""-HC-6400-194-Ba.ParteObjet LINHA-TUBULAÇÃO"
166;20102660;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão atmosférica alveolar deintensidade leve a moderada na geratriz inferior da tubulação,principalmente nas regiões de solda da sela e cap na extremidade dalinha na bacia de contenção, conforme condição 4 e item 3.2 da normaN-442.REFERÊNCIA: linha 6""-PE-6400-164-Ba, no trecho da bacia de contenção.ParteObjet LINHA-TUBULAÇÃO"
167;20102661;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão atmosférica alveolar deintensidade leve a moderada na geratriz inferior da tubulação,principalmente nas regiões de solda da sela e cap na extremidade dalinha na bacia de contenção, conforme condição 4 e item 3.2 da normaN-442.REFERÊNCIA: linha 6""-DS-6122-176-Ba (em campo está o TAG errado6""-DS-6122-028-Ba), no trecho da bacia de contenção.ParteObjet LINHA-TUBULAÇÃO"
168;20102662;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão atmosférica alveolar deintensidade leve na geratriz inferior da tubulação, região da soldacalha/tubo, no suporte próximo à linha 4""-DS-6400-182-Ba (marcado emcampo), conforme condição 4 e item 3.2 da norma N-442.REFERÊNCIA: linha 6""-DS-6122-176-Ba, no trecho da bacia de contenção.ParteObjet LINHA-TUBULAÇÃO"
169;20102665;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOITEM 01) Tratar e pintar regiões com corrosão no tubos, dreno, conexões,flanges e válvulas conforme condição 4 e item 3.2 da norma N-442;ITEM 02) Tratar e pintar suportes conforme itens 3 e 4.2 da normaN-1550;ITEM 03) Instalar fita anticorrosiva do tipo Torofita entre uniõesflangeadas horizontais.REFERÊNCIA: Regiões dispersas com corrosão atmosférica alveolar e porfrestas de intensidade leve a moderada no head horizontal, uniõesflangeadas e nas 4 válvulas esferas de interligação das 4 linhasverticais de 3pol (3""-HC-6400-550-Ba e 3""-HC-6400-192-Ba), incluindocorrosão leve no dreno e corrosão atmosférica alveolar por placas levenos suportes.ParteObjet LINHA-TUBULAÇÃO"
170;20102667;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão conforme condição 4 e item 3.2da norma N-442.REFERÊNCIA: nos trechos de drenagem dos braços de carregamentoBC-71413C, BC-71413A, BC-71414B e BC-71414A, principalmente nas áreas desoldas, na parte superior do píer.ParteObjet LINHA-TUBULAÇÃO
171;20102668;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-TUBULAÇÃO;PROCESSO CORROSIVO;Conteúdo da notaPrio.: CREP PINTURA TUBULAÇÃOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões com corrosão conforme condição 4 e item 3.2da norma N-442.REFERÊNCIA: nos trechos de drenagem do braço de carregamento BC-71415,principalmente nas áreas de soldas, na área superior do píer.ParteObjet LINHA-TUBULAÇÃO
172;20102674;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-DRENO;PROCESSO CORROSIVO;Conteúdo da notaPrio.: CREP PINTURA DRENOAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões sem pintura e com corrosão conforme condição4 e item 3.2 da norma N-442.REFERÊNCIA: drenos das linhas de drenagens dos braços de carregamentoBC-71413C, BC-71413A, BC-71414B, BC-71414A e BC-71415.ParteObjet LINHA-DRENO
173;20102676;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-FLANGE;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA FLANGESAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOITEM 01) Tratar e pintar corrosão nos flanges, estojos e porcas,conforme condição 4 e item 3.2 da norma N-442;ITEM 02) Instalar fita anticorrosiva do tipo Torofita entre flangeshorizontais.REFERÊNCIA: uniões flangeadas horizontais com válvulas esfera abaixo:-na linha 2""-HC-6400-141-Ba do interior da bacia de contenção;-na linha 2""-HC-6400-540-Ba da descarga das PSV-6400122, PSV-6400123 ePSV-6400124.ParteObjet LINHA-FLANGE"
174;20102677;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-FLANGE;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA FLANGESAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOITEM 01) Tratar e pintar as regiões dispersas com corrosão conformecondição 4 e item 3.2 da norma N-442;ITEM 02) Instalar fita anticorrosiva do tipo Torofita entre flangeshorizontais.REFERÊNCIA: uniões flangeadas, estojos e porcas da válvula esferaVES-02A localizada na derivação da linha 6""-HC-6400-158-Ba.ParteObjet LINHA-FLANGE"
175;20102682;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-SUPORTE;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA SUPORTESAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar suportes conforme itens 3 e 4.2 da norma N-1550.REFERÊNCIA: todos os suportes de cantoneira da linha 2""-HC-6400-141-Baao longo de todo o trecho da tubovia de acesso ao píer.ParteObjet LINHA-SUPORTE"
176;20102684;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-SUPORTE;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA SUPORTESAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar suportes conforme itens 3 e 4.2 da norma N-1550.REFERÊNCIA: todos os limitadores de movimento lateral (guias) emcantoneira da linha 2""-HC-6400-141-Ba ao longo de todos os suportes dotrecho da bacia de contenção do píer.ParteObjet LINHA-SUPORTE"
177;20102685;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-SUPORTE;PROCESSO CORROSIVO;"Conteúdo da notaPrio.: CREP PINTURA SUPORTESAção  ConservaçãoNenhuma medida existenteITEM    1Probl.: PROCESSO CORROSIVOTratar e pintar as regiões dispersas com corrosão atmosférica alveolar epor placas de intensidade leve a moderada nos 2 suportes e vigas desustentação do trecho elevado da linha 12""-HC-6400-236-Ba, que seguepara o TQ-532307.NOTA: tratamento e pintura conforme itens 3 e 4.2 da norma N-1550.REFERÊNCIA: linha 12""-HC-6400-236-Ba da área da bacia de contenção.ParteObjet LINHA-SUPORTE"
178;20102693;;10321016;LINTER HC PGL-3A;NES.TA.SUAPE   .LINPROD.SRO_PGL3A;46142;LINHA-SUPORTE;ELEMENTOS DE FIXAÇÃO SOLTOS;"Conteúdo da notaPrio.: CFIXAR E PINTAR SUPORTEAção  OutraNenhuma medida existenteITEM    1Probl.: ELEMENTOS DE FIXAÇÃO SOLTOSITEM 01) Tratar e pintar base do suporte em perfil L conforme itens 3 e4.2 da norma N-1550;ITEM 02) Fixar adequadamente o suporte que está solto.REFERÊNCIA: suporte da extremidade da derivação de 4"" da linha6""-HC-6400-158-Ba, localizado ao lado da bomba de drenagem.ParteObjet LINHA-SUPORTE"
